Locality	VolumeClass	Comm	Area	TerrUnivStructGroup	ContractNumberofBAT	ContractNumberofJTI	ContractNumberofPMI	ContractNumberofNon	TmrName	LegalName	OutletName	TerrType	PlannedVisits	CompletedVisits	TotalAmount	NumberofCustomer	TotalAnnualVol	MTDSales	SalesMTDsply	YTDSales	SalesYTDsply	MTDSalesDSA	SalesMTDsplyDSA	YTDSalesDSA	SalesYTDsplyDSA	BenefitsMTD	BenefitsMTDSPLY	BenefitsYTD	BenefitsYTDSPLY	SalesEvolutionSPLM	Overdue	DelayDay	BatVolume	PaymentBehavior	Oos	OosCount	CompletedVisitsYTD	EfficientVisitsYTD	CompletedVisitsYTDSPLY	EfficientVisitsYTDSPLY	Invoices	InvoicesSply	VariableFeeYTD	RcfYTD	MeritBasicYTD	OthersYTD	BoosterYTD	TradeMarginYTD	VariableFeeSPLY	RcfSPLY	MeritBasicSPLY	OthersSPLY	BoosterSPLY	TradeMarginSPLY	CompliancyPercent	NonC	Checkno	CompliancyComm	CompliancyPlanogram	CompliancyPromotion	CompliancyVisibility	ContractStartDate	ContractEndDate	ContractType	Position	ContractValue	DayPassed	DayRemaining	ReportDate
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	CATA IMPEX SRL	CATA IMPEX	P	2	1	3517.55	1	538	16.84	17.82	245.44	206.12	1.05	1.19	1.08	0.91	510.58	945.22	7315.93	9285.08	-0.04			304	0.02	0	24	50	50	46	45	49	48	492.59	0.00	0.00	0.00	561.79	6261.55	0.00	0.00	0.00	0.00	131.69	9153.39	100	0	3	0	0	0	0	01/07/2016	30/06/2020	Fee Variabil	1st Position	0	145	1315	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	CATA IMPEX SRL	CATA IMPEX 2	P	1	1	2821.25	1	544	12.36	12.34	229.26	205.36	0.77	0.82	1.01	0.90	408.97	567.59	6029.81	9188.69	-0.26			331	0.02	0	24	49	49	46	46	49	55	0.00	0.00	0.00	0.00	184.56	5845.25	0.00	0.00	0.00	0.00	0.00	9188.69	100	0	4	0	0	0	0	01/07/2016	30/06/2020	Fee Variabil	1st Position	0	145	1315	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	DESONIA SRL	DESONIA BOGDAN VODA	P	2	1	237.57	1	628	1.52	1.92	23.90	21.32	0.10	0.13	0.10	0.09	37.95	88.93	610.33	953.49	0.19			422	0.00	4	24	48	47	46	43	48	43						610.33						953.49	100	0	4	0	0	0	0								22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	DRAGAN A SRL	DRAGAN A 1	P	1	1	5126.77	1	624	19.20	13.76	227.64	282.32	1.20	0.92	1.00	1.24	799.66	637.38	6513.55	14088.63	0.17	0.10	191	338	-1.12	4	24	44	44	42	42	44	43	0.00	0.00	0.00	0.00	667.00	5846.55	0.00	0.00	0.00	0.00	1490.48	12598.15															22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	GULIVER COM SRL	GULIVER	P	1	1	1776.06	1	517	6.42	7.24	120.16	152.70	0.40	0.48	0.53	0.67	159.52	324.35	4927.14	6688.14	-0.31			293	0.00	0	24	47	40	48	43	57	62	1650.87	0.00	300.00	0.00	0.00	2976.27	0.00	0.00	0.00	0.00	0.00	6688.14	100	0	4	0	0	0	0	01/02/2015	31/01/2019	Fee Variabil	1st Position	0	661	799	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	LIANA SRL	LIANA 1	P	3	1	9327.43	1	896	20.40	18.36	364.76	325.20	1.28	1.22	1.60	1.43	1094.55	1074.24	18563.46	21738.02	-0.16			536	-0.65	0	24	46	45	47	42	45	43	7996.27	0.00	0.00	48.00	1274.02	9245.17	4866.57	0.00	0.00	0.00	2362.20	14509.25	100	0	2	0	0	0	0	01/01/2015	31/12/2018	Fee Fix + Fee Variabil	1st Position	48000	692	768	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	LOCTIT COM SRL	LOCTIT	P	2	1	4013.39	1	535	13.50	10.20	179.58	144.96	0.84	0.68	0.79	0.64	719.61	466.29	5048.75	6363.47	-0.13	240.00	9	334	0.14	0	24	52	51	47	46	78	62	0.00	0.00	540.00	0.00	0.00	4508.75	0.00	0.00	0.00	0.00	0.00	6363.47	100	0	2	0	0	0	0								22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	LUCAS EUFOR SRL	CATRISCAU	P	1	1	721.64	1	544	3.32	5.32	57.54	50.30	0.21	0.35	0.25	0.22	86.13	243.44	1875.91	2258.62	1.96			341	0.00	5	24	43	35	18	17	35	19	398.11	0.00	0.00	0.00	0.00	1477.80	0.00	0.00	0.00	0.00	0.00	2258.62	100	0	4	0	0	0	0	01/08/2015	31/07/2019	Fee Variabil	1st Position	0	480	980	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	MENTOR COM SRL	AVROM	P	2	1	8986.25	1	735	32.96	26.28	488.22	323.36	2.06	1.75	2.14	1.42	1256.68	1191.54	13130.39	14718.95	0.12			441	-0.30	1	40	92	92	90	89	93	93	0.00	0.00	0.00	0.00	870.10	12260.29	0.00	0.00	0.00	0.00	270.32	14448.63	100	0	4	0	0	0	0	01/01/2015	31/12/2018	Fee Fix	1st Position	19500	692	768	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	MIRAFLORES SRL	MIRAFLORES 2	P	1	1	4996.79	1	584	13.80	13.72	264.38	271.54	0.86	0.91	1.16	1.20	344.55	622.35	6911.06	12976.90	-0.25			354	2.55	3	24	58	45	52	41	46	46	0.00	0.00	0.00	72.00	223.34	6615.72	0.00	0.00	0.00	0.00	1006.88	11970.02	100	0	4	0	0	0	0	01/10/2014	30/09/2018	Fee Fix	1st Position	8000	784	676	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	NEMES SRL	NEMES 8	P	2	1	5035.59	1	647	22.00	33.02	481.64	504.18	1.38	2.20	2.11	2.22	547.73	1516.18	12813.65	23520.15	0.07			410	-0.26	0	24	47	47	43	43	47	44	0.00	0.00	0.00	24.00	628.16	12161.49	0.00	0.00	0.00	0.00	1230.08	22290.07	100	0	3	0	0	0	0	01/01/2016	31/12/2018	Fee Fix	1st Position	4800	327	768	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	O.S.C. ATOMIC SRL	ATOMIC 2	P	2	2	4568.06	1	696	20.76	19.50	337.02	335.00	1.30	1.30	1.48	1.48	638.44	1045.93	10617.14	15596.83	-0.04			420	0.00	27	48	92	91	87	86	90	90	1197.82	0.00	0.00	60.00	657.94	8701.38	0.00	0.00	0.00	0.00	485.77	15080.06	100	0	5	0	0	0	0	01/07/2015	30/06/2019	Fee Fix + Fee Variabil	1st Position	12000	511	949	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	ROYAL-R SRL	CHIOSC AUTOGARA	P	2	1	4840.71	1	543	15.58	16.56	256.54	247.06	0.97	1.10	1.13	1.09	379.30	741.76	6954.86	11320.92	-0.17			337	-0.62	2	24	48	43	46	44	44	45	0.00	0.00	0.00	0.00	606.38	6348.48	0.00	0.00	0.00	0.00	477.40	10843.52	100	0	1	0	0	0	0								22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	SUPER OFFICE SRL	SUPER OFFICE	P	2	1	4645.15	1	581	17.84	17.02	262.04	253.86	1.12	1.13	1.15	1.12	630.83	764.40	6958.98	11415.04	-0.02	119.81	9	362	-0.74	0	48	104	91	88	80	91	80	0.00	0.00	0.00	0.00	425.61	6533.37	0.00	0.00	0.00	0.00	358.36	11056.68	100	0	3	0	0	0	0	01/12/2012	30/11/2016	Fee Fix	1st Position	4000	1453	7	22/11/2016
BAIA MARE	6	Bat	A32	GROW	1	0	0	0	DANIEL GAVRILA PODINA	VEVA SRL	VEVA	P	1	1	5735.44	1	688	21.24	24.12	416.48	420.60	1.33	1.61	1.83	1.85	611.12	1087.30	11264.98	18793.23	-0.14			443	0.00	12	48	89	89	119	117	90	119	0.00	0.00	0.00	0.00	832.42	10432.56	0.00	0.00	0.00	0.00	208.32	18584.91															22/11/2016
BAIA MARE	6	Bat	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	LUKOIL ROMANIA SRL	LUKOIL BAIA MARE UNIRII	P	2	1	0.00	1	963	31.92	28.74	503.16	484.14	2.00	1.92	2.21	2.13								510	-1.45	0	24	46	46	48	47	49	50													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	BILA RADU SORIN II	BILBER	P	1	1	1039.58	1	605	5.92	10.48	146.04	172.98	0.37	0.70	0.64	0.76	185.14	480.39	3876.96	7730.59	-0.09			295	-0.35	0	48	99	99	87	87	132	99	0.00	0.00	60.00	0.00	0.00	3816.96	0.00	0.00	0.00	0.00	0.00	7730.59	100	0	3	0	0	0	0	01/10/2013	30/09/2017	Fee Fix	1st Position	2000	1149	311	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	COMEXMAR SRL	COMEXMAR HORTENSIEI	P	2	1	5229.69	1	780	19.24	14.68	334.10	73.36	1.20	0.98	1.47	0.32	616.33	674.57	9235.64	3333.99	0.56			469	-0.40	0	24	50	50	14	14	50	14	0.00	0.00	0.00	36.00	637.70	8561.94						3333.99	100	0	3	0	0	0	0	01/06/2016	31/07/2020	Fee Fix + Fee Variabil	1st Position	12000	175	1346	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	CRISMANA SRL	CRISMANA	P	2	1	1773.46	1	524	11.48	7.04	121.28	96.86	0.72	0.47	0.53	0.43	533.76	323.38	3948.46	4329.51	0.24			309	-1.91	0	24	54	54	45	45	82	55	309.58	0.00	540.00	0.00	0.00	3098.88	0.00	0.00	0.00	0.00	0.00	4329.51	100	0	3	0	0	0	0	01/06/2016	31/05/2020	Fee Variabil	1st Position	0	175	1285	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	DUMITRU SI MARIA COSTIN SRL	COSTIN	P	2	1	3497.68	1	616	15.14	13.62	264.30	161.66	0.95	0.91	1.16	0.71	457.12	629.81	9672.40	7272.49	-0.05			377	-0.02	0	48	90	90	84	84	125	99	1105.10	0.00	1800.00	0.00	0.00	6767.30	0.00	0.00	0.00	0.00	0.00	7272.49	100	0	3	0	0	0	0	01/01/2016	31/12/2020	Fee Variabil	1st Position	0	327	1499	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	GOJE SRL	GOJE 2 VASILE LUCACIU	P	2	1	3874.32	1	781	20.90	14.20	323.58	327.04	1.31	0.95	1.42	1.44	698.19	979.74	9110.27	15310.45	0.12			458	-0.07	1	56	92	92	88	88	94	90	0.00	0.00	0.00	0.00	766.62	8343.65	0.00	0.00	0.00	0.00	630.17	14680.28	100	0	4	0	0	0	0	01/02/2013	31/01/2017	Fee Fix	1st Position	12800	1391	69	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	GOJE SRL	GOJE COSBUC 	P	2	1	2014.59	1	531	7.04	12.10	183.90	166.96	0.44	0.81	0.81	0.74	408.44	556.79	5190.58	7479.85	-0.38			328	-0.07	0	24	46	46	45	45	56	46	0.00	0.00	180.00	0.00	277.64	4732.94						7479.85															22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	GOJE SRL	GOJE IORGA	P	1	1	2493.95	1	525	10.68	11.90	186.98	170.36	0.67	0.79	0.82	0.75	531.61	541.73	5121.96	7542.18	-0.17			282	-0.07	1	24	46	46	45	45	54	47	0.00	0.00	180.00	0.00	291.50	4650.46						7542.18	100	0	5	0	0	0	0	01/08/2013	31/07/2017	Fee Fix	1st Position	6000	1210	250	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	JENIAN COM SRL	MAG EVELYN	P	1	1	2529.30	1	598	9.26	9.62	153.44	208.14	0.58	0.64	0.67	0.92	292.44	437.53	5520.50	11158.16	-0.13			598	0.24	0	24	59	45	47	39	72	41	1409.70	0.00	240.00	0.00	0.00	3870.80	0.00	929.53	0.00	0.00	956.04	9272.59	100	0	3	0	0	0	0	01/03/2015	28/02/2019	Fee Variabil	1st Position	0	633	827	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	JOJOBAN SRL	JOJOBAN MAG 	P	2	1	16930.87	1	559	33.48	18.08	400.06	251.08	2.09	1.21	1.75	1.11	974.73	873.49	13647.99	11718.86	1.86	2623.83	2	320	0.29	0	48	89	87	78	67	90	77	1959.10	0.00	0.00	24.00	692.18	10972.71	0.00	188.53	0.00	0.00	31.00	11499.33	100	0	5	0	0	0	0	01/05/2015	30/04/2019	Fee Variabil	1st Position	0	572	888	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	KARIMA EXIM SRL	KARIMA MAGAZIN	P	1	1	6548.96	1	897	23.04	20.52	339.00	351.18	1.44	1.37	1.49	1.55	592.29	1167.92	9382.89	16955.77	0.04			525	-1.00	0	24	47	47	46	46	47	47	0.00	0.00	0.00	0.00	711.12	8671.77	0.00	0.00	0.00	0.00	1329.13	15626.64	100	0	3	0	0	0	0	01/04/2013	31/03/2017	Fee Fix	1st Position	16000	1332	128	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	MEMBRILO COM SRL	MAGAZIN	P	1	1	5941.36	1	592	22.96	12.10	313.98	249.70	1.44	0.81	1.38	1.10	601.78	593.53	8865.21	11647.42	0.17			326	0.00	0	48	69	65	44	34	66	36	0.00	0.00	0.00	48.00	655.44	8161.77	0.00	0.00	0.00	0.00	405.48	11241.94	100	0	4	0	0	0	0	01/09/2014	31/08/2018	Fee Fix	1st Position	4800	814	646	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	PRICLAS SRL	MAGAZIN MIX	P	2	1	2444.05	1	543	14.32	15.58	229.60	204.82	0.90	1.04	1.01	0.90	597.80	799.75	6969.76	9036.45	0.02			383	-0.01	0	56	60	60	44	44	87	56	0.00	0.00	1200.00	0.00	0.00	5769.76	0.00	0.00	0.00	0.00	112.49	8923.96	100	0	4	0	0	0	0	01/12/2014	30/11/2018	Fee Fix	1st Position	10000	723	737	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	PRICLAS SRL	SALAJAN	P	2	1	2356.86	1	544	12.24	13.86	197.22	182.50	0.77	0.92	0.86	0.80	419.62	618.15	5539.03	7842.11	-0.07			373	-0.01	0	48	57	55	44	44	82	46	0.00	0.00	720.00	0.00	0.00	4819.03	0.00	0.00	0.00	0.00	0.00	7842.11	100	0	4	0	0	0	0	01/12/2014	30/11/2018	Fee Fix	1st Position	10000	723	737	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	SABMOG SRL	SABMOG 2	P	1	1	4968.13	1	838	52.08	52.24	775.22	762.92	3.26	3.48	3.40	3.36	1869.40	2817.25	24002.86	36097.37	0.12			664	-2.46	0	72	138	134	134	129	133	134	4402.45	0.00	0.00	0.00	1290.14	18310.27	0.00	0.00	0.00	0.00	4014.77	32082.60	100	0	3	0	0	0	0	01/11/2015	31/10/2019	Fee Variabil	1st Position	0	388	1072	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	SELI FRUCT SRL	SELI	P	2	1	6717.23	1	702	25.40	21.46	358.36	359.34	1.59	1.43	1.57	1.58	966.20	1037.61	9940.98	17735.34	0.08			443	0.00	0	48	92	92	93	93	92	96	0.00	0.00	0.00	0.00	494.74	9446.24	0.00	0.00	0.00	0.00	1251.16	16484.18	100	0	4	0	0	0	0	01/06/2014	31/05/2018	Fee Fix	1st Position	16000	906	554	22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	UIREBIT REP SRL	UIREBIT	P				1	676		11.98	37.44	209.36		0.80	0.16	0.92				0.00				428				11	10	50	47	10	51							0.00	0.00	0.00	0.00	0.00																22/11/2016
BAIA MARE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	VALPROD SRL	MAGAZIN 1	P	1	1	3797.02	1	666	16.76	14.60	286.12	301.04	1.05	0.97	1.25	1.33	415.76	810.43	7267.66	14810.05	-0.05	0.02	602	417	-3.00	0	24	51	50	51	51	50	58	0.00	0.00	0.00	0.00	140.40	7127.26	0.00	0.00	0.00	0.00	1744.23	13065.82	100	0	1	0	0	0	0	01/07/2012	30/06/2017	Fee Fix	1st Position	4000	1606	219	22/11/2016
BAIA MARE	6	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	LUKOIL ROMANIA SRL	LUKOIL BAIA MARE VICTORIEI	P	2	1	0.00	1	965	47.42	39.68	691.70	618.92	2.96	2.65	3.03	2.73								555	-1.45	0	24	59	59	54	54	61	57													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	6	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	LUKOIL ROMANIA SRL	LUKOIL BAIA MARE V. LUCACIU	P	2	1	0.00	1	781	28.80	21.76	418.06	411.54	1.80	1.45	1.83	1.81								467	-1.45	1	24	59	59	48	48	60	52													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	6	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	PROFI ROM FOOD SRL	PROFI 2178 BAIA MARE IULIU MANIU	P	2	1	0.00	1	892	32.94	29.48	595.76	488.36	2.06	1.97	2.61	2.15								535	2.10	0	24	48	48	49	34	51	51													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	6	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	PROFI ROM FOOD SRL	PROFI 2325 BAIA MARE BARAJULUI	P	2	1	0.00	1	925	21.16	17.90	372.84	200.96	1.32	1.19	1.64	0.89								561	2.10	0	24	47	47	22	20	50	24													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	6	Other	A32	GROW	0	1	0	0	DANIEL GAVRILA PODINA	GAJ COMIMPEX SRL	MAGAZIN GAJ	P	1	1	2579.51	1	982	10.72	14.80	178.70	201.94	0.67	0.99	0.78	0.89	271.41	686.57	4525.43	9110.84	0.35			582	-3.35	0	24	46	46	46	46	45	47						4525.43						9110.84															22/11/2016
BAIA MARE	6	Other	A32	GROW	0	1	0	0	DANIEL GAVRILA PODINA	LUCKY CHIC SRL	LUCKY	P	1	1	2934.01	1	559	17.64	13.44	248.04	194.24	1.10	0.90	1.09	0.86	450.78	737.01	6381.41	8666.73	0.30			323	-2.42	7	48	92	92	88	88	92	93	0.00	0.00	0.00	0.00	166.64	6214.77	0.00	0.00	0.00	0.00	127.67	8539.06															22/11/2016
BAIA MARE	6	Other	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	REWE ROMANIA SRL	PENNY BAIA MARE TRAIAN	P	1	1	0.00	1	865																364																																				22/11/2016
BAIA MARE	6	Other	A33	GROW	0	0	1	0	DANIEL GAVRILA PODINA	ROYAL-R SRL	SHOP	P	1	1	2901.71	1	885	9.44	8.58	133.50	256.80	0.59	0.57	0.59	1.13	245.83	447.69	3624.95	12350.20	-0.26			510	-0.62	3	24	51	43	49	44	43	48	0.00	0.00	0.00	24.00	149.86	3451.09	0.00	0.00	0.00	0.00	798.87	11551.33															22/11/2016
BAIA MARE	6	Other	A33	GROW	0	1	0	0	DANIEL GAVRILA PODINA	GAJ COMIMPEX SRL	MAGAZIN GAJ 3	P	1	1	2989.65	1	649	14.20	14.70	203.08	209.74	0.89	0.98	0.89	0.92	562.87	686.14	6762.69	9470.67	0.16			365	-3.35	0	24	45	45	45	45	45	46	0.00	1510.09	0.00	0.00	0.00	5252.60						9470.67															22/11/2016
BAIA MARE	6	Other	A33	GROW	0	1	0	0	DANIEL GAVRILA PODINA	GEMINA TUDOR STAR SRL	GEMINA	P	1	1	3829.91	1	657	14.52	14.98	242.16	245.84	0.91	1.00	1.06	1.08	370.71	842.42	6837.76	11848.77	0.12			381	0.00	2	24	48	48	48	48	49	51	0.00	0.00	0.00	24.00	602.14	6211.62	0.00	0.00	0.00	0.00	769.84	11078.93															22/11/2016
BAIA MARE	6	Other	A33	GROW	0	1	0	0	DANIEL GAVRILA PODINA	O.S.C. ATOMIC SRL	OSC ATOMIC	P	1	1	4073.39	1	772	15.80	11.76	227.60	176.90	0.99	0.78	1.00	0.78	401.19	536.61	8656.44	7827.08	0.02			450	0.00	0	48	70	70	43	42	83	50	2590.21	0.00	0.00	0.00	274.83	5791.40	0.00	0.00	0.00	0.00	0.00	7827.08								01/07/2015	30/06/2019	Fee Fix + Fee Variabil	2nd Postion	12000	511	949	22/11/2016
BAIA MARE	6	Other	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	REWE ROMANIA SRL	PENNY BAIA MARE VICTORIEI	P	1	1	0.00	1	865																364																																				22/11/2016
BAIA MARE	7	Bat	A32	PROTECT	1	0	0	0	DANIEL GAVRILA PODINA	COMEXMAR SRL	COMEXMAR GRANICERILOR	P	2	1	3554.17	1	303	14.88	9.16	257.76	195.30	0.93	0.61	1.13	0.86	372.48	537.75	6987.48	8813.51	-0.10	0.04	355	175	-0.40	1	24	45	45	40	39	45	43	0.00	0.00	0.00	0.00	563.33	6424.15	0.00	0.00	0.00	0.00	117.40	8696.11	100	0	3	0	0	0	0	01/06/2016	31/07/2020	Fee Fix + Fee Variabil	1st Position	8000	175	1346	22/11/2016
BAIA MARE	7	Bat	A32	PROTECT	1	0	0	0	DANIEL GAVRILA PODINA	ELISAVIA COM SRL	ELISAVIA MAGAZIN	P	1	1	812.03	1	240	1.08	3.46	27.80	43.68	0.07	0.23	0.12	0.19	27.45	156.22	679.56	1911.98	-0.27	812.03	7	127	4.57	5	24	46	23	40	31	23	40						679.56	0.00	0.00	0.00	0.00	0.00	1911.98															22/11/2016
BAIA MARE	7	Bat	A32	PROTECT	1	0	0	0	DANIEL GAVRILA PODINA	FANDYL COM SRL	FANDYL MARASESTI	P	2	1	2024.49	1	345	9.00	16.02	191.60	284.78	0.56	1.07	0.84	1.25	418.92	734.42	5065.30	13320.57	-0.32			250	1.08	20	24	47	44	46	44	43	45	0.00	0.00	180.00	0.00	0.00	4885.30	0.00	0.00	0.00	0.00	649.76	12670.81															22/11/2016
BAIA MARE	7	Bat	A32	IKA	0	0	0	0	DANIEL GAVRILA PODINA	PROFI ROM FOOD SRL	PROFI 2326 BAIA MARE MELODIEI	P	2	1	0.00	1	415	22.96	16.40	386.66	159.18	1.44	1.09	1.70	0.70								260	2.10	0	24	47	47	22	21	51	24													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	7	Bat	A33	PROTECT	1	0	0	0	DANIEL GAVRILA PODINA	GHITTA A.D. COMERCIAL SRL	GHITTA PROGRESULUI	P	1	1	5347.82	1	292	7.04	6.38	106.28	119.20	0.44	0.43	0.47	0.53	183.42	286.40	2741.95	5935.76	0.17	3478.37	5	253	6.60	2	16	41	39	40	28	39	28						2741.95	0.00	0.00	0.00	0.00	575.36	5360.40															22/11/2016
BAIA MARE	7	Bat	A33	PROTECT	1	0	0	0	DANIEL GAVRILA PODINA	PEROMAR IOZERB COM SRL	PEROMAR TRAIAN	P	1	1		1	244																128		0	32	47	0	25	0																													22/11/2016
BAIA MARE	7	Bat	A33	PROTECT	1	0	0	0	DANIEL GAVRILA PODINA	POPEX SRL	POPEX	P	1	1	3263.17	1	437	13.32	12.52	250.76	222.92	0.83	0.83	1.10	0.98	383.58	560.57	8715.13	10288.70	-0.06			308	0.00	0	48	87	87	49	49	87	50	1959.26	0.00	0.00	0.00	613.73	6142.14	0.00	74.43	0.00	0.00	538.16	9676.11	100	0	3	0	0	0	0	01/05/2015	30/04/2019	Fee Variabil	1st Position	0	572	888	22/11/2016
BAIA MARE	7	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	PROFI ROM FOOD SRL	PROFI 2324 BAIA MARE COSMONAUTILOR	P	2	1	0.00	1	260	19.74	16.94	282.24	150.64	1.23	1.13	1.24	0.66								156	2.10	0	24	46	46	23	22	49	24													100	0	1	0	0	0	0								22/11/2016
BAIA MARE	7	Other	A32	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON METRO BAIA MARE	P	1	1	2674.62	1	375	3.56	11.20	133.52	233.18	0.22	0.75	0.59	1.03	138.67	514.55	3468.30	10473.08	-0.46	1146.08	2	208	-1.69	4	16	48	47	47	46	46	46						3468.30						10473.08															22/11/2016
BAIA MARE	7	Other	A32	PROTECT	0	0	0	1	DANIEL GAVRILA PODINA	DRAGAN A SRL	DRAGAN A 3	P	1	1	4913.96	1	468	18.24	12.58	246.00	287.76	1.14	0.84	1.08	1.27	527.86	674.41	6621.92	14186.23	0.04			272	-1.12	0	24	44	44	44	43	44	44	0.00	0.00	0.00	0.00	642.55	5979.37	0.00	0.00	0.00	0.00	1855.54	12330.69															22/11/2016
BAIA MARE	8	Other	A33	OPTIMIZE	0	0	0	1	DANIEL GAVRILA PODINA	KAREOL CONSULTING SRL	KAREOL	P				1	119		14.56	12.92	216.84		0.97	0.06	0.96		146.39		1311.99				73				17	16	89	85	16	87							0.00	0.00	0.00	0.00	1311.99									20/05/2013	19/05/2017	Fee Fix	1st Position	4800	1283	177	22/11/2016
BAIA SPRIE	4	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	RAZMIR COM SRL	RAZMIR	P	2	1	20800.13	1	2165	68.70	59.24	1318.22	1261.96	4.29	3.95	5.78	5.56	1743.18	3536.39	48398.87	59249.35	-0.03			1269	0.97	0	8	47	45	44	44	47	47	13669.31	0.00	0.00	144.00	1183.32	33402.24	0.00	0.00	0.00	0.00	3264.92	55984.43	100	0	3	0	0	0	0	01/07/2015	30/06/2019	Fee Variabil	1st Position	0	511	949	22/11/2016
BAIA SPRIE	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	ZOVI MAXIM SRL	ZOVI 15 BAIA SPRIE 	P	2	1	4395.02	1	877	27.42		156.26		1.71		0.69		705.17		4303.26		0.36			448	-3.24	0	32	21	21	1	0	22		0.00	0.00	0.00	0.00	270.82	4032.44																					22/11/2016
BAIA SPRIE	6	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	LUKOIL ROMANIA SRL	LUKOIL BAIA SPRIE CAMPULUI	P	1	1	0.00	1	929	52.72	27.98	674.06	536.44	3.30	1.87	2.96	2.36								522	-1.45	2	32	53	53	52	51	59	55													100	0	1	0	0	0	0								22/11/2016
